,features,Random Forest feature importances,XGBoost feature importances,LightGBM feature importances,Gradient Boost feature importances,AverageModel,StackAverageModel
27,term_svd_7_10,0.028060088355872877,0.050869737324300425,0.41221374045801523,0.007189618575481493,0.12458329617841751,0.18586883299864773
28,mbtags_count,0.0047704948762512,0.0,0.061068702290076333,0.00032855567924746233,0.01654193821139375,0.025800928546234534
29,term_id,0.02354702562720236,0.027247850355100904,0.40458015267175573,0.0036002979121280893,0.11474383164154676,0.17538618930807703
30,country_us,0.0024812381231826717,0.0,0.015267175572519083,0.0,0.0044371034239254386,0.006833462625768842
31,title_svd_9_10,0.023705922510876536,0.0364468798661585,0.32061068702290074,0.002027555396860627,0.0956977611991991,0.14417008786846197
32,tempo,0.031705303721941636,0.0567875782517287,0.4961832061068702,0.014532523166943544,0.14980215281187104,0.22229757072363893
33,release_svd_7_10,0.03483946930118171,0.047177194916396374,0.4809160305343511,0.009748033320783014,0.14317018201817805,0.2145087332119737
34,term_svd_5_10,0.020883068507964602,0.04798377127747585,0.40458015267175573,0.008091322942887542,0.12038457885002093,0.17999250380544832
35,end_of_fade_in,0.02599203090458128,0.04412348665587294,0.40458015267175573,0.0036170963489583737,0.11957819164529207,0.18033671733722711
36,artist.hotttnesss,0.2558219889685883,0.263829384315309,0.7862595419847328,0.21420411760758737,0.38002875821905435,0.46720623198422356
37,release_svd_2_10,0.022827771478335552,0.054638856396329996,0.23664122137404578,0.005199416355513324,0.07982681640105616,0.11512957034769682
38,term_svd_8_10,0.02048366796765403,0.045185850013438875,0.33587786259541985,0.005248023253742092,0.1016988509575637,0.1516352291032115
39,title_svd_2_10,0.023678622553481417,0.05891333989464227,0.4198473282442748,0.016541525973608827,0.12974520416650182,0.19008003876922241
40,term_svd_6_10,0.02670993487441792,0.049691801703297726,0.35877862595419846,0.0076656705088300504,0.11071150826018604,0.16388670640143935
41,tatums_confidence,0.0275549737632058,0.049184255537367105,0.37404580152671757,0.0033152357085719088,0.1135250666339656,0.16988014074074115
42,term_svd_3_10,0.014891420348526165,0.06434598350202043,0.24427480916030533,0.0034993268177408196,0.08175288495714819,0.11812513119965729
43,release_svd_1_10,0.02414565850456666,0.06674884605951927,0.4351145038167939,0.02317396747994532,0.13729574396520627,0.19860230675317112
44,term_svd_4_10,0.016043788502793043,0.03292534828556501,0.26717557251908397,0.002127420977888355,0.0795680325713326,0.11968588013970209
45,beats_confidence,0.02713347956927538,0.02406227271547404,0.4427480916030534,0.005063511586415298,0.12475183886855454,0.19096204763341057
46,grammy_relevance,0.010081769970867403,0.06240802329081397,0.16793893129770993,0.009625003648196129,0.06251343205189686,0.0860693442715148
47,term_svd_10_10,0.027722542690747587,0.052408383237897274,0.32061068702290074,0.006703387241258883,0.10186125004820112,0.14960187272987066
48,beats_start,0.025350421512380476,0.03735768823953781,0.37404580152671757,0.003035751526009387,0.1099474157011613,0.16624951599058596
49,bars_start,0.02730392106887575,0.02472566741733428,0.33587786259541985,0.0028345347187950965,0.09768549645010624,0.14845304192057593
50,loudness,0.1256744537671874,0.12275822654903194,1.0,0.1144702000078402,0.34072572008101487,0.47299703366080864
51,term_svd_1_10,0.026079275151029972,0.07724977476135444,0.40458015267175573,0.012583103315163012,0.1301230764748258,0.18909228716378118
52,term_svd_9_10,0.025284946355521552,0.038763419856599125,0.4580152671755725,0.015871192890598938,0.134483706569573,0.20071526910446386
53,release.name_compound,0.011114254748992896,0.04971622440060179,0.0916030534351145,0.0076636935047901455,0.04002430652237484,0.0526727340695526
54,release_svd_5_10,0.018897346482680235,0.036228522091800185,0.34351145038167935,0.008405080576204116,0.10176059988309097,0.15212565993868024
